Title,Authors,Published,Link,Summary,Relatif to Alzheimer's
"Entropy-Enhanced Conformal Features from Ricci Flow for Robust
  Alzheimer's Disease Classification","F. Ahmadi; B. Bidabad; H. Nasiri","2025-10-21T08:16:45Z","http://arxiv.org/abs/2510.18396v1","Background and Objective: In brain imaging  geometric surface models are essential for analyzing the 3D shapes of anatomical structures. Alzheimer's disease (AD) is associated with significant cortical atrophy  making such shape analysis a valuable diagnostic tool. The objective of this study is to introduce and validate a novel local surface representation method for the automated and accurate diagnosis of AD. Methods: The study utilizes T1-weighted MRI scans from 160 participants (80 AD patients and 80 healthy controls) from the Alzheimer's Disease Neuroimaging Initiative (ADNI). Cortical surface models were reconstructed from the MRI data using Freesurfer. Key geometric attributes were computed from the 3D meshes. Area distortion and conformal factor were derived using Ricci flow for conformal parameterization  while Gaussian curvature was calculated directly from the mesh geometry. Shannon entropy was applied to these three features to create compact and informative feature vectors. The feature vectors were used to train and evaluate a suite of classifiers (e.g. XGBoost  MLP  Logistic Regression  etc.). Results: Statistical significance of performance differences between classifiers was evaluated using paired Welch's t-test. The method proved highly effective in distinguishing AD patients from healthy controls. The Multi-Layer Perceptron (MLP) and Logistic Regression classifiers outperformed all others  achieving an accuracy and F$_1$ Score of 98.62%. Conclusions: This study confirms that the entropy of conformally-derived geometric features provides a powerful and robust metric for cortical morphometry. The high classification accuracy underscores the method's potential to enhance the study and diagnosis of Alzheimer's disease  offering a straightforward yet powerful tool for clinical research applications.",True
"CEPerFed: Communication-Efficient Personalized Federated Learning for
  Multi-Pulse MRI Classification","Ludi Li; Junbin Mao; Hanhe Lin; Xu Tian; Fang-Xiang Wu; Jin Liu","2025-10-20T14:34:16Z","http://arxiv.org/abs/2510.17584v1","Multi-pulse magnetic resonance imaging (MRI) is widely utilized for clinical practice such as Alzheimer's disease diagnosis. To train a robust model for multi-pulse MRI classification  it requires large and diverse data from various medical institutions while protecting privacy by preventing raw data sharing across institutions. Although federated learning (FL) is a feasible solution to address this issue  it poses challenges of model convergence due to the effect of data heterogeneity and substantial communication overhead due to large numbers of parameters transmitted within the model. To address these challenges  we propose CEPerFed  a communication-efficient personalized FL method. It mitigates the effect of data heterogeneity by incorporating client-side historical risk gradients and historical mean gradients to coordinate local and global optimization. The former is used to weight the contributions from other clients  enhancing the reliability of local updates  while the latter enforces consistency between local updates and the global optimization direction to ensure stable convergence across heterogeneous data distributions. To address the high communication overhead  we propose a hierarchical SVD (HSVD) strategy that transmits only the most critical information required for model updates. Experiments on five classification tasks demonstrate the effectiveness of the CEPerFed method. The code will be released upon acceptance at https://github.com/LD0416/CEPerFed.",False
"Diffusion Bridge Networks Simulate Clinical-grade PET from MRI for
  Dementia Diagnostics","Yitong Li; Ralph Buchert; Benita Schmitz-Koep; Timo Grimmer; Björn Ommer; Dennis M. Hedderich; Igor Yakushev; Christian Wachinger","2025-10-17T11:42:11Z","http://arxiv.org/abs/2510.15556v1","Positron emission tomography (PET) with 18F-Fluorodeoxyglucose (FDG) is an established tool in the diagnostic workup of patients with suspected dementing disorders. However  compared to the routinely available magnetic resonance imaging (MRI)  FDG-PET remains significantly less accessible and substantially more expensive. Here  we present SiM2P  a 3D diffusion bridge-based framework that learns a probabilistic mapping from MRI and auxiliary patient information to simulate FDG-PET images of diagnostic quality. In a blinded clinical reader study  two neuroradiologists and two nuclear medicine physicians rated the original MRI and SiM2P-simulated PET images of patients with Alzheimer's disease  behavioral-variant frontotemporal dementia  and cognitively healthy controls. SiM2P significantly improved the overall diagnostic accuracy of differentiating between three groups from 75.0% to 84.7% (p<0.05). Notably  the simulated PET images received higher diagnostic certainty ratings and achieved superior interrater agreement compared to the MRI images. Finally  we developed a practical workflow for local deployment of the SiM2P framework. It requires as few as 20 site-specific cases and only basic demographic information. This approach makes the established diagnostic benefits of FDG-PET imaging more accessible to patients with suspected dementing disorders  potentially improving early detection and differential diagnosis in resource-limited settings. Our code is available at https://github.com/Yiiitong/SiM2P.",False
"Skull-stripping induces shortcut learning in MRI-based Alzheimer's
  disease classification","Christian Tinauer; Maximilian Sackl; Rudolf Stollberger; Reinhold Schmidt; Stefan Ropele; Christian Langkammer","2025-01-27T07:37:37Z","http://arxiv.org/abs/2501.15831v4","Objectives: High classification accuracy of Alzheimer's disease (AD) from structural MRI has been achieved using deep neural networks  yet the specific image features contributing to these decisions remain unclear. In this study  the contributions of T1-weighted (T1w) gray-white matter texture  volumetric information  and preprocessing -- particularly skull-stripping -- were systematically assessed.   Methods: A dataset of 990 matched T1w MRIs from AD patients and cognitively normal controls from the ADNI database were used. Preprocessing was varied through skull-stripping and intensity binarization to isolate texture and shape contributions. A 3D convolutional neural network was trained on each configuration  and classification performance was compared using exact McNemar tests with discrete Bonferroni-Holm correction. Feature relevance was analyzed using Layer-wise Relevance Propagation  image similarity metrics  and spectral clustering of relevance maps.   Results: Despite substantial differences in image content  classification accuracy  sensitivity  and specificity remained stable across preprocessing conditions. Models trained on binarized images preserved performance  indicating minimal reliance on gray-white matter texture. Instead  volumetric features -- particularly brain contours introduced through skull-stripping -- were consistently used by the models.   Conclusions: This behavior reflects a shortcut learning phenomenon  where preprocessing artifacts act as potentially unintended cues. The resulting Clever Hans effect emphasizes the critical importance of interpretability tools to reveal hidden biases and to ensure robust and trustworthy deep learning in medical imaging.", True
"Capturing Protein Free Energy Landscape using Efficient Quantum Encoding","Ashwini Kannan; Jaya Vasavi Pamidimukkala; Avinash Dakshinamoorthy; Soham Bopardikar; Kalyan Dasgupta; Sanjib Senapati","2025-10-17T05:06:43Z","http://arxiv.org/abs/2510.15316v1","Protein folding is one of the age-old biological problems that refers to the mechanism of understanding and predicting how a protein's linear sequence of amino acids folds into its specific three dimensional structure.This structure is critical  as a protein's functionality is inherently linked to its final folded form. Misfolding can lead to severe diseases such as Alzheimer's and cystic fibrosis  highlighting the biological and clinical importance of understanding protein folding mechanisms. This work presents a novel turn based encoding optimization algorithm for predicting the folded structures of peptides and small proteins. Our approach builds upon our previous research  where our objective function focused on hydrophobic collapse  a fundamental phenomenon underlying the protein folding process. In this work  we extend that framework by not only incorporating hydrophobic interactions but also including all non bonded interactions modeled using the Miyazawa Jernigan potential. We constructed a Hamiltonian from the defined objective function that encodes the folding process on a three dimensional face centered cubic lattice  offering superior packing efficiency and a realistic representation of protein conformations. This Hamiltonian is then solved using classical and quantum solvers to explore the vast conformational space of proteins. To identify the lowest-energy folded configurations  we utilize the Variational Quantum Eigensolver implemented on IBM 133 qubit hardware. The predicted structures are validated against experimental data using root mean square deviation as a metric and compared against classical simulated annealing and molecular dynamics simulation results. Our findings highlight the promise of hybrid classical and quantum approaches in advancing protein folding predictions  particularly for sequences with low homology.", False
"A Robust Classification Method using Hybrid Word Embedding for Early
  Diagnosis of Alzheimer's Disease","Yangyang Li","2025-10-16T06:10:31Z","http://arxiv.org/abs/2510.14332v1","Early detection of Alzheimer's Disease (AD) is greatly beneficial to AD patients  leading to early treatments that lessen symptoms and alleviating financial burden of health care. As one of the leading signs of AD  language capability changes can be used for early diagnosis of AD. In this paper  I develop a robust classification method using hybrid word embedding and fine-tuned hyperparameters to achieve state-of-the-art accuracy in the early detection of AD. Specifically  we create a hybrid word embedding based on word vectors from Doc2Vec and ELMo to obtain perplexity scores of the sentences. The scores identify whether a sentence is fluent or not and capture semantic context of the sentences. I enrich the word embedding by adding linguistic features to analyze syntax and semantics. Further  we input an embedded feature vector into logistic regression and fine tune hyperparameters throughout the pipeline. By tuning hyperparameters of the machine learning pipeline (e.g.  model regularization parameter  learning rate and vector size of Doc2Vec  and vector size of ELMo)  I achieve 91% classification accuracy and an Area Under the Curve (AUC) of 97% in distinguishing early AD from healthy subjects. Based on my knowledge  my model with 91% accuracy and 97% AUC outperforms the best existing NLP model for AD diagnosis with an accuracy of 88% [32]. I study the model stability through repeated experiments and find that the model is stable even though the training data is split randomly (standard deviation of accuracy = 0.0403; standard deviation of AUC = 0.0174). This affirms our proposed method is accurate and stable. This model can be used as a large-scale screening method for AD  as well as a complementary examination for doctors to detect AD.",True
"Working Memory Functional Connectivity Analysis for Dementia
  Classification using EEG","Shivani Ranjan; Anant Jain; Robin Badal; Amit Kumar; Harshal Shende; Deepak Joshi; Pramod Yadav; Lalan Kumar","2025-10-15T10:52:48Z","http://arxiv.org/abs/2510.13399v1","Background: Dementia  particularly Alzheimer's Disease (AD)  is a progressive neurodegenerative disorder marked by cognitive decline. Early detection  especially at the Mild Cognitive Impairment (MCI) stage  is essential for timely intervention. Working Memory (WM) impairment is a key early indicator of neurodegeneration  affecting higher cognitive processes. Electroencephalography (EEG)  with its high temporal resolution  offers a cost-effective method to assess brain dynamics. This study investigates WM-related EEG functional connectivity (FC) to identify brain network alterations across dementia stages. Methods: EEG signals were recorded from 24 participants (8 AD  8 MCI  and 8 healthy controls) during WM tasks  including encoding  recall  and retrieval stages. Data preprocessing involved noise reduction and feature extraction using Spherical and Head Harmonic Decomposition (SHD  HHD). FC was quantified using Cross-Plot Transition Entropy (CPTE) and Phase Lag Index (PLI). Network metrics such as Degree and Eigenvector Centrality were analyzed using Support Vector Machine  Random Forest  and XGBoost classifiers. Results: The CPTE-based connectivity metrics outperformed the traditional PLI approach in differentiating dementia stages  attaining a peak classification accuracy of 97.53% during the retrieval phase with the Random Forest model. A connectivity threshold of 0.5 was optimal for network discrimination. SHD and HHD features also demonstrated strong discriminative potential. AD subjects exhibited higher synchronization patterns during WM tasks than healthy controls. Conclusions: The integration of WM tasks with EEG-based FC analysis provides a robust framework for dementia classification. The proposed CPTE-based approach offers a robust  scalable  non-invasive  and effective diagnostic tool for early detection and monitoring of neurodegenerative diseases.",True
"Enabling Few-Shot Alzheimer's Disease Diagnosis on Biomarker Data with
  Tabular LLMs","Sophie Kearney; Shu Yang; Zixuan Wen; Bojian Hou; Duy Duong-Tran; Tianlong Chen; Jason Moore; Marylyn Ritchie; Li Shen","2025-07-31T03:49:31Z","http://arxiv.org/abs/2507.23227v2","Early and accurate diagnosis of Alzheimer's disease (AD)  a complex neurodegenerative disorder  requires analysis of heterogeneous biomarkers (e.g.  neuroimaging  genetic risk factors  cognitive tests  and cerebrospinal fluid proteins) typically represented in a tabular format. With flexible few-shot reasoning  multimodal integration  and natural-language-based interpretability  large language models (LLMs) offer unprecedented opportunities for prediction with structured biomedical data. We propose a novel framework called TAP-GPT  Tabular Alzheimer's Prediction GPT  that adapts TableGPT2  a multimodal tabular-specialized LLM originally developed for business intelligence tasks  for AD diagnosis using structured biomarker data with small sample sizes. Our approach constructs few-shot tabular prompts using in-context learning examples from structured biomedical data and finetunes TableGPT2 using the parameter-efficient qLoRA adaption for a clinical binary classification task of AD or cognitively normal (CN). The TAP-GPT framework harnesses the powerful tabular understanding ability of TableGPT2 and the encoded prior knowledge of LLMs to outperform more advanced general-purpose LLMs and a tabular foundation model (TFM) developed for prediction tasks. To our knowledge  this is the first application of LLMs to the prediction task using tabular biomarker data  paving the way for future LLM-driven multi-agent frameworks in biomedical informatics.",True
"Data-Efficient Fine-Tuning of Vision-Language Models for Diagnosis of
  Alzheimer's Disease","Fangqi Cheng; Surajit Ray; Xiaochen Yang","2025-09-09T11:36:21Z","http://arxiv.org/abs/2509.07613v3","Medical vision-language models (Med-VLMs) have shown impressive results in tasks such as report generation and visual question answering  but they still face several limitations. Most notably  they underutilize patient metadata and lack integration of clinical diagnostic knowledge. Moreover  most existing models are typically trained from scratch or fine-tuned on large-scale 2D image-text pairs  requiring extensive computational resources  and their effectiveness on 3D medical imaging is often limited due to the absence of structural information. To address these gaps  we propose a data-efficient fine-tuning pipeline to adapt 3D CT-based Med-VLMs for 3D MRI and demonstrate its application in Alzheimer's disease (AD) diagnosis. Our system introduces two key innovations. First  we convert structured metadata into synthetic reports  enriching textual input for improved image-text alignment. Second  we add an auxiliary token trained to predict the mini-mental state examination (MMSE) score  a widely used clinical measure of cognitive function that correlates with AD severity. This provides additional supervision for fine-tuning. Applying lightweight prompt tuning to both image and text modalities  our approach achieves state-of-the-art performance on ADNI with only 1 504 training MRIs  outperforming methods trained on 27 161 MRIs  and shows strong zero-shot generalization on OASIS-2 and AIBL. Code is available at https://github.com/CFQ666312/DEFT-VLM-AD.",False
"Non-linear associations of amyloid-$β$ with resting-state functional
  networks and their cognitive relevance in a large community-based cohort of
  cognitively normal older adults","Junjie Wu; Benjamin B Risk; Taylor A James; Nicholas Seyfried; David W Loring; Felicia C Goldstein; Allan I Levey; James J Lah; Deqiang Qiu","2025-10-14T17:32:39Z","http://arxiv.org/abs/2510.12751v1","Background: Non-linear alterations in brain network connectivity may represent early neural signatures of Alzheimer's disease (AD) pathology in cognitively normal older adults. Understanding these changes and their cognitive relevance could provide sensitive biomarkers for early detection. Most prior studies recruited participants from memory clinics  often with subjective memory concerns  limiting generalizability.   Methods: We examined 14 large-scale functional brain networks in 968 cognitively normal older adults recruited from the community using resting-state functional MRI  cerebrospinal fluid (CSF) biomarkers (amyloid-$\beta$ 1-42 [A$\beta$]  total tau  phosphorylated tau 181)  and neuropsychological assessments. Functional networks were identified using group independent component analysis.   Results: Inverted U-shaped associations between CSF A$\beta$ and functional connectivity were observed in the precuneus network and ventral default mode network (DMN)  but not in the dorsal DMN  indicating network-specific vulnerability to early amyloid pathology. Higher connectivity in A$\beta$-related networks  including dorsal and ventral DMN  precuneus  and posterior salience networks  was associated with better visual memory  visuospatial  and executive performance. No significant relationships were observed between CSF tau and functional connectivity.   Conclusions: Using a large  community-based cohort  we demonstrate that non-linear alterations in functional connectivity occur in specific networks even during the asymptomatic phase of AD. Moreover  A$\beta$-related network connectivity is cognitively relevant  highlighting functional brain networks as promising imaging markers for early detection and prognosis of AD.",True
